Group|Questionnaire|Project|Type|Source|Count
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Caso|perf|36
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Control|perf|17
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Total|perf|53
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Caso|answers|36
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Control|answers|17
Hospital Vall d´Hebron|Dieta|PanGen-Eu|Total|answers|53
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Caso|perf|13
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Control|perf|10
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Total|perf|23
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Caso|answers|13
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Control|answers|10
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Total|answers|23
Hospital del Mar|Dieta|PanGen-Eu|Caso|perf|54
Hospital del Mar|Dieta|PanGen-Eu|Control|perf|47
Hospital del Mar|Dieta|PanGen-Eu|Total|perf|101
Hospital del Mar|Dieta|PanGen-Eu|Caso|answers|54
Hospital del Mar|Dieta|PanGen-Eu|Control|answers|47
Hospital del Mar|Dieta|PanGen-Eu|Total|answers|101
Hospital 12 de Octubre|Dieta|PanGen-Eu|Caso|perf|36
Hospital 12 de Octubre|Dieta|PanGen-Eu|Control|perf|21
Hospital 12 de Octubre|Dieta|PanGen-Eu|Total|perf|57
Hospital 12 de Octubre|Dieta|PanGen-Eu|Caso|answers|36
Hospital 12 de Octubre|Dieta|PanGen-Eu|Control|answers|21
Hospital 12 de Octubre|Dieta|PanGen-Eu|Total|answers|57
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Caso|perf|64
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Control|perf|16
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Total|perf|80
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Caso|answers|64
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Control|answers|16
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Total|answers|80
Hospital de Santiago de Compostela|Dieta|PanGen-Eu|Caso|perf|2
Hospital de Santiago de Compostela|Dieta|PanGen-Eu|Total|perf|2
Hospital de Santiago de Compostela|Dieta|PanGen-Eu|Caso|answers|2
Hospital de Santiago de Compostela|Dieta|PanGen-Eu|Total|answers|2
Hospital Clínico Universitario de Salamanca|Dieta|PanGen-Eu|Caso|perf|11
Hospital Clínico Universitario de Salamanca|Dieta|PanGen-Eu|Total|perf|11
Hospital Clínico Universitario de Salamanca|Dieta|PanGen-Eu|Caso|answers|11
Hospital Clínico Universitario de Salamanca|Dieta|PanGen-Eu|Total|answers|11
Hospital General Universitario de Elche|Dieta|PanGen-Eu|Caso|perf|4
Hospital General Universitario de Elche|Dieta|PanGen-Eu|Total|perf|4
Hospital General Universitario de Elche|Dieta|PanGen-Eu|Caso|answers|4
Hospital General Universitario de Elche|Dieta|PanGen-Eu|Total|answers|4
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Caso|perf|19
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Control|perf|10
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Total|perf|29
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Caso|answers|19
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Control|answers|10
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Total|answers|29
Hospital del Mar|Formulario de participación|ISBlaC|Caso|perf|1
Hospital del Mar|Formulario de participación|ISBlaC|Total|perf|1
Hospital del Mar|Formulario de participación|ISBlaC|Caso|answers|1
Hospital del Mar|Formulario de participación|ISBlaC|Total|answers|1
Hospital 12 de Octubre|Formulario de participación|PanGen-Eu|Caso|perf|1
Hospital 12 de Octubre|Formulario de participación|PanGen-Eu|Total|perf|1
Hospital 12 de Octubre|Formulario de participación|PanGen-Eu|Caso|answers|1
Hospital 12 de Octubre|Formulario de participación|PanGen-Eu|Total|answers|1
Hospital Clínico Universitario de Salamanca|Formulario de participación|PanGen-Eu|Caso|perf|3
Hospital Clínico Universitario de Salamanca|Formulario de participación|PanGen-Eu|Total|perf|3
Hospital Clínico Universitario de Salamanca|Formulario de participación|PanGen-Eu|Caso|answers|3
Hospital Clínico Universitario de Salamanca|Formulario de participación|PanGen-Eu|Total|answers|3
Hospital General Universitario de Elche|Formulario de participación|PanGen-Eu|Caso|perf|3
Hospital General Universitario de Elche|Formulario de participación|PanGen-Eu|Total|perf|3
Hospital General Universitario de Elche|Formulario de participación|PanGen-Eu|Caso|answers|3
Hospital General Universitario de Elche|Formulario de participación|PanGen-Eu|Total|answers|3
Royal Liverpool University Hospital |IDC_English|PanGen-Eu|Caso|perf|3
Royal Liverpool University Hospital |IDC_English|PanGen-Eu|Total|perf|3
Royal Liverpool University Hospital |IDC_English|PanGen-Eu|Caso|answers|3
Royal Liverpool University Hospital |IDC_English|PanGen-Eu|Total|answers|3
Hospital del Mar|IDC_Español|PanGen-Eu|Caso|perf|3
Hospital del Mar|IDC_Español|PanGen-Eu|Sample?|perf|1
Hospital del Mar|IDC_Español|PanGen-Eu|Total|perf|4
Hospital del Mar|IDC_Español|PanGen-Eu|Caso|answers|3
Hospital del Mar|IDC_Español|PanGen-Eu|Sample?|answers|1
Hospital del Mar|IDC_Español|PanGen-Eu|Total|answers|4
Hospital de Santiago de Compostela|IDC_Español|PanGen-Eu|Caso|perf|1
Hospital de Santiago de Compostela|IDC_Español|PanGen-Eu|Total|perf|1
Hospital de Santiago de Compostela|IDC_Español|PanGen-Eu|Caso|answers|1
Hospital de Santiago de Compostela|IDC_Español|PanGen-Eu|Total|answers|1
Hospital Clínico Universitario de Salamanca|IDC_Español|PanGen-Eu|Caso|perf|3
Hospital Clínico Universitario de Salamanca|IDC_Español|PanGen-Eu|Total|perf|3
Hospital Clínico Universitario de Salamanca|IDC_Español|PanGen-Eu|Caso|answers|3
Hospital Clínico Universitario de Salamanca|IDC_Español|PanGen-Eu|Total|answers|3
Hospital General Universitario de Elche|IDC_Español|PanGen-Eu|Caso|perf|1
Hospital General Universitario de Elche|IDC_Español|PanGen-Eu|Total|perf|1
Hospital General Universitario de Elche|IDC_Español|PanGen-Eu|Caso|answers|1
Hospital General Universitario de Elche|IDC_Español|PanGen-Eu|Total|answers|1
Hospital Vall d´Hebron|Identificacion_Paciente_ES|ISBlaC|Control|perf|1
Hospital Vall d´Hebron|Identificacion_Paciente_ES|ISBlaC|Total|perf|1
Hospital Vall d´Hebron|Identificacion_Paciente_ES|ISBlaC|Control|answers|1
Hospital Vall d´Hebron|Identificacion_Paciente_ES|ISBlaC|Total|answers|1
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Caso|perf|448
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Control|perf|37
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Total|perf|485
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Caso|answers|446
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Control|answers|37
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Total|answers|483
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Caso|perf|26
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Control|perf|6
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Total|perf|32
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Caso|answers|26
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Control|answers|6
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Total|answers|32
Royal London Hospital|Interview Quality|PanGen-Eu|Caso|perf|3
Royal London Hospital|Interview Quality|PanGen-Eu|Total|perf|3
Royal London Hospital|Interview Quality|PanGen-Eu|Caso|answers|3
Royal London Hospital|Interview Quality|PanGen-Eu|Total|answers|3
Royal Liverpool University Hospital |ISP_English|PanGen-Eu|Caso|perf|2
Royal Liverpool University Hospital |ISP_English|PanGen-Eu|Total|perf|2
Royal Liverpool University Hospital |ISP_English|PanGen-Eu|Caso|answers|2
Royal Liverpool University Hospital |ISP_English|PanGen-Eu|Total|answers|2
Hospital del Mar|ISP_Español|PanGen-Eu|Caso|perf|1
Hospital del Mar|ISP_Español|PanGen-Eu|Sample?|perf|1
Hospital del Mar|ISP_Español|PanGen-Eu|Total|perf|2
Hospital del Mar|ISP_Español|PanGen-Eu|Caso|answers|1
Hospital del Mar|ISP_Español|PanGen-Eu|Sample?|answers|1
Hospital del Mar|ISP_Español|PanGen-Eu|Total|answers|2
Hospital de Santiago de Compostela|ISP_Español|PanGen-Eu|Caso|perf|1
Hospital de Santiago de Compostela|ISP_Español|PanGen-Eu|Total|perf|1
Hospital de Santiago de Compostela|ISP_Español|PanGen-Eu|Caso|answers|1
Hospital de Santiago de Compostela|ISP_Español|PanGen-Eu|Total|answers|1
Hospital Clínico Universitario de Salamanca|ISP_Español|PanGen-Eu|Caso|perf|1
Hospital Clínico Universitario de Salamanca|ISP_Español|PanGen-Eu|Total|perf|1
Hospital Clínico Universitario de Salamanca|ISP_Español|PanGen-Eu|Caso|answers|1
Hospital Clínico Universitario de Salamanca|ISP_Español|PanGen-Eu|Total|answers|1
University Hospital of Marburg|ISP_German|PanGen-Eu|Caso|perf|1
University Hospital of Marburg|ISP_German|PanGen-Eu|Total|perf|1
University Hospital of Marburg|ISP_German|PanGen-Eu|Caso|answers|1
University Hospital of Marburg|ISP_German|PanGen-Eu|Total|answers|1
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Caso|perf|319
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Control|perf|20
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Total|perf|339
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Caso|answers|318
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Control|answers|20
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Total|answers|338
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Caso|perf|30
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Control|perf|8
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Total|perf|38
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Caso|answers|30
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Control|answers|8
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Total|answers|38
Royal London Hospital|QES_EnglishUK|PanGen-Eu|Caso|perf|4
Royal London Hospital|QES_EnglishUK|PanGen-Eu|Total|perf|4
Royal London Hospital|QES_EnglishUK|PanGen-Eu|Caso|answers|4
Royal London Hospital|QES_EnglishUK|PanGen-Eu|Total|answers|4
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Caso|perf|54
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Control|perf|41
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Total|perf|95
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Caso|answers|54
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Control|answers|41
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Total|answers|95
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Caso|perf|65
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Control|perf|29
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Total|perf|94
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Caso|answers|65
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Control|answers|29
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Total|answers|94
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Caso|perf|15
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Control|perf|11
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Total|perf|26
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Caso|answers|15
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Control|answers|10
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Total|answers|25
Hospital del Mar|QES_Español|PanGen-Eu|Caso|perf|70
Hospital del Mar|QES_Español|PanGen-Eu|Control|perf|60
Hospital del Mar|QES_Español|PanGen-Eu|Sample?|perf|1
Hospital del Mar|QES_Español|PanGen-Eu|Total|perf|131
Hospital del Mar|QES_Español|PanGen-Eu|Caso|answers|69
Hospital del Mar|QES_Español|PanGen-Eu|Control|answers|60
Hospital del Mar|QES_Español|PanGen-Eu|Sample?|answers|1
Hospital del Mar|QES_Español|PanGen-Eu|Total|answers|130
Hospital del Mar|QES_Español|ISBlaC|Caso|perf|109
Hospital del Mar|QES_Español|ISBlaC|Control|perf|30
Hospital del Mar|QES_Español|ISBlaC|Total|perf|139
Hospital del Mar|QES_Español|ISBlaC|Caso|answers|109
Hospital del Mar|QES_Español|ISBlaC|Control|answers|30
Hospital del Mar|QES_Español|ISBlaC|Total|answers|139
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Caso|perf|43
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Control|perf|23
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Total|perf|66
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Caso|answers|43
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Control|answers|23
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Total|answers|66
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Caso|perf|67
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Control|perf|16
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Total|perf|83
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Caso|answers|67
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Control|answers|16
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Total|answers|83
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Caso|perf|4
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Control|perf|1
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Total|perf|5
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Caso|answers|4
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Control|answers|1
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Total|answers|5
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Caso|perf|23
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Control|perf|1
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Total|perf|24
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Caso|answers|23
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Control|answers|1
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Total|answers|24
Hospital General Universitario de Elche|QES_Español|PanGen-Eu|Caso|perf|8
Hospital General Universitario de Elche|QES_Español|PanGen-Eu|Total|perf|8
Hospital General Universitario de Elche|QES_Español|PanGen-Eu|Caso|answers|8
Hospital General Universitario de Elche|QES_Español|PanGen-Eu|Total|answers|8
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Caso|perf|24
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Control|perf|13
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Total|perf|37
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Caso|answers|24
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Control|answers|13
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Total|answers|37
University Hospital of Marburg|QES_German|PanGen-Eu|Caso|perf|7
University Hospital of Marburg|QES_German|PanGen-Eu|Total|perf|7
University Hospital of Marburg|QES_German|PanGen-Eu|Caso|answers|7
University Hospital of Marburg|QES_German|PanGen-Eu|Total|answers|7
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Caso|perf|37
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Control|perf|1
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Total|perf|38
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Caso|answers|37
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Control|answers|1
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Total|answers|38
Ireland Rol-PanCAM Study|QES_Ireland|PanGen-Eu|Caso|perf|1
Ireland Rol-PanCAM Study|QES_Ireland|PanGen-Eu|Total|perf|1
Ireland Rol-PanCAM Study|QES_Ireland|PanGen-Eu|Caso|answers|1
Ireland Rol-PanCAM Study|QES_Ireland|PanGen-Eu|Total|answers|1
AMNCH Dublin|QES_Ireland|PanGen-Eu|Caso|perf|36
AMNCH Dublin|QES_Ireland|PanGen-Eu|Total|perf|36
AMNCH Dublin|QES_Ireland|PanGen-Eu|Caso|answers|36
AMNCH Dublin|QES_Ireland|PanGen-Eu|Total|answers|36
St Vincent’s Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|perf|31
St Vincent’s Hospital Dublin|QES_Ireland|PanGen-Eu|Total|perf|31
St Vincent’s Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|answers|31
St Vincent’s Hospital Dublin|QES_Ireland|PanGen-Eu|Total|answers|31
St James’ Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|perf|4
St James’ Hospital Dublin|QES_Ireland|PanGen-Eu|Total|perf|4
St James’ Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|answers|4
St James’ Hospital Dublin|QES_Ireland|PanGen-Eu|Total|answers|4
Mater Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|perf|21
Mater Hospital Dublin|QES_Ireland|PanGen-Eu|Total|perf|21
Mater Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|answers|21
Mater Hospital Dublin|QES_Ireland|PanGen-Eu|Total|answers|21
Cork University Hospital|QES_Ireland|PanGen-Eu|Caso|perf|2
Cork University Hospital|QES_Ireland|PanGen-Eu|Total|perf|2
Cork University Hospital|QES_Ireland|PanGen-Eu|Caso|answers|2
Cork University Hospital|QES_Ireland|PanGen-Eu|Total|answers|2
Mercy University Hospital, Cork|QES_Ireland|PanGen-Eu|Caso|perf|27
Mercy University Hospital, Cork|QES_Ireland|PanGen-Eu|Total|perf|27
Mercy University Hospital, Cork|QES_Ireland|PanGen-Eu|Caso|answers|27
Mercy University Hospital, Cork|QES_Ireland|PanGen-Eu|Total|answers|27
Kerry General Hospital|QES_Ireland|PanGen-Eu|Caso|perf|10
Kerry General Hospital|QES_Ireland|PanGen-Eu|Total|perf|10
