Group|Questionnaire|Project|Type|Count
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Control|10
Instituto Universitario de Oncología del Principado de Asturias|Dieta|PanGen-Eu|Total|23
Hospital del Mar|Dieta|PanGen-Eu|Caso|54
Hospital del Mar|Dieta|PanGen-Eu|Control|47
Hospital del Mar|Dieta|PanGen-Eu|Total|101
Hospital 12 de Octubre|Dieta|PanGen-Eu|Caso|36
Hospital 12 de Octubre|Dieta|PanGen-Eu|Control|21
Hospital 12 de Octubre|Dieta|PanGen-Eu|Total|57
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Caso|64
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Control|16
Hospital Ramón y Cajal|Dieta|PanGen-Eu|Total|80
Hospital de Santiago de Compostela|Dieta|PanGen-Eu|Caso|2
Hospital de Santiago de Compostela|Dieta|PanGen-Eu|Total|2
Hospital Clínico Universitario de Salamanca|Dieta|PanGen-Eu|Caso|11
Hospital Clínico Universitario de Salamanca|Dieta|PanGen-Eu|Total|11
Hospital General Universitario de Elche|Dieta|PanGen-Eu|Caso|4
Hospital General Universitario de Elche|Dieta|PanGen-Eu|Total|4
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Caso|19
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Control|10
Hospital Madrid Norte Sanchinarro|Dieta|PanGen-Eu|Total|29
Hospital del Mar|Formulario de participación|ISBlaC|Caso|1
Hospital del Mar|Formulario de participación|ISBlaC|Total|1
Hospital 12 de Octubre|Formulario de participación|PanGen-Eu|Caso|1
Hospital 12 de Octubre|Formulario de participación|PanGen-Eu|Total|1
Hospital Clínico Universitario de Salamanca|Formulario de participación|PanGen-Eu|Caso|3
Hospital Clínico Universitario de Salamanca|Formulario de participación|PanGen-Eu|Total|3
Hospital General Universitario de Elche|Formulario de participación|PanGen-Eu|Caso|3
Hospital General Universitario de Elche|Formulario de participación|PanGen-Eu|Total|3
Royal Liverpool University Hospital |IDC_English|PanGen-Eu|Caso|3
Royal Liverpool University Hospital |IDC_English|PanGen-Eu|Total|3
Hospital del Mar|IDC_Español|PanGen-Eu|Caso|3
Hospital del Mar|IDC_Español|PanGen-Eu|Sample?|1
Hospital del Mar|IDC_Español|PanGen-Eu|Total|4
Hospital de Santiago de Compostela|IDC_Español|PanGen-Eu|Caso|1
Hospital de Santiago de Compostela|IDC_Español|PanGen-Eu|Total|1
Hospital Clínico Universitario de Salamanca|IDC_Español|PanGen-Eu|Caso|3
Hospital Clínico Universitario de Salamanca|IDC_Español|PanGen-Eu|Total|3
Hospital General Universitario de Elche|IDC_Español|PanGen-Eu|Caso|1
Hospital General Universitario de Elche|IDC_Español|PanGen-Eu|Total|1
Hospital Vall d´Hebron|Identificacion_Paciente_ES|ISBlaC|Control|1
Hospital Vall d´Hebron|Identificacion_Paciente_ES|ISBlaC|Total|1
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Caso|446
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Control|37
Hospital del Mar|Identificacion_Paciente_ES|ISBlaC|Total|483
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Caso|26
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Control|6
Royal Liverpool University Hospital |Interview Quality|PanGen-Eu|Total|32
Royal London Hospital|Interview Quality|PanGen-Eu|Caso|3
Royal London Hospital|Interview Quality|PanGen-Eu|Total|3
Royal Liverpool University Hospital |ISP_English|PanGen-Eu|Caso|2
Royal Liverpool University Hospital |ISP_English|PanGen-Eu|Total|2
Hospital del Mar|ISP_Español|PanGen-Eu|Caso|1
Hospital del Mar|ISP_Español|PanGen-Eu|Sample?|1
Hospital del Mar|ISP_Español|PanGen-Eu|Total|2
Hospital de Santiago de Compostela|ISP_Español|PanGen-Eu|Caso|1
Hospital de Santiago de Compostela|ISP_Español|PanGen-Eu|Total|1
Hospital Clínico Universitario de Salamanca|ISP_Español|PanGen-Eu|Caso|1
Hospital Clínico Universitario de Salamanca|ISP_Español|PanGen-Eu|Total|1
University Hospital of Marburg|ISP_German|PanGen-Eu|Caso|1
University Hospital of Marburg|ISP_German|PanGen-Eu|Total|1
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Caso|318
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Control|20
Hôpital Henri Mondor, Paris|PatientIdentification_FRANCE|ISBlaC|Total|338
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Caso|30
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Control|8
Royal Liverpool University Hospital |QES_EnglishUK|PanGen-Eu|Total|38
Royal London Hospital|QES_EnglishUK|PanGen-Eu|Caso|4
Royal London Hospital|QES_EnglishUK|PanGen-Eu|Total|4
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Caso|54
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Control|41
Hospital de la Santa Creu I San Pau|QES_Español|PanGen-Eu|Total|95
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Caso|65
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Control|29
Hospital Vall d´Hebron|QES_Español|PanGen-Eu|Total|94
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Caso|15
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Control|10
Instituto Universitario de Oncología del Principado de Asturias|QES_Español|PanGen-Eu|Total|25
Hospital del Mar|QES_Español|PanGen-Eu|Caso|69
Hospital del Mar|QES_Español|PanGen-Eu|Control|60
Hospital del Mar|QES_Español|PanGen-Eu|Sample?|1
Hospital del Mar|QES_Español|PanGen-Eu|Total|130
Hospital del Mar|QES_Español|ISBlaC|Caso|109
Hospital del Mar|QES_Español|ISBlaC|Control|30
Hospital del Mar|QES_Español|ISBlaC|Total|139
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Caso|43
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Control|23
Hospital 12 de Octubre|QES_Español|PanGen-Eu|Total|66
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Caso|67
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Control|16
Hospital Ramón y Cajal|QES_Español|PanGen-Eu|Total|83
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Caso|4
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Control|1
Hospital de Santiago de Compostela|QES_Español|PanGen-Eu|Total|5
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Caso|23
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Control|1
Hospital Clínico Universitario de Salamanca|QES_Español|PanGen-Eu|Total|24
Hospital General Universitario de Elche|QES_Español|PanGen-Eu|Caso|8
Hospital General Universitario de Elche|QES_Español|PanGen-Eu|Total|8
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Caso|24
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Control|13
Hospital Madrid Norte Sanchinarro|QES_Español|PanGen-Eu|Total|37
University Hospital of Marburg|QES_German|PanGen-Eu|Caso|7
University Hospital of Marburg|QES_German|PanGen-Eu|Total|7
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Caso|37
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Control|1
Klinikum rechts der Isar der Technischen Universität München|QES_German|PanGen-Eu|Total|38
Ireland Rol-PanCAM Study|QES_Ireland|PanGen-Eu|Caso|1
Ireland Rol-PanCAM Study|QES_Ireland|PanGen-Eu|Total|1
AMNCH Dublin|QES_Ireland|PanGen-Eu|Caso|36
AMNCH Dublin|QES_Ireland|PanGen-Eu|Total|36
St Vincent’s Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|31
St Vincent’s Hospital Dublin|QES_Ireland|PanGen-Eu|Total|31
St James’ Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|4
St James’ Hospital Dublin|QES_Ireland|PanGen-Eu|Total|4
Mater Hospital Dublin|QES_Ireland|PanGen-Eu|Caso|21
Mater Hospital Dublin|QES_Ireland|PanGen-Eu|Total|21
Cork University Hospital|QES_Ireland|PanGen-Eu|Caso|2
Cork University Hospital|QES_Ireland|PanGen-Eu|Total|2
Mercy University Hospital, Cork|QES_Ireland|PanGen-Eu|Caso|27
Mercy University Hospital, Cork|QES_Ireland|PanGen-Eu|Total|27
Kerry General Hospital|QES_Ireland|PanGen-Eu|Caso|10
Kerry General Hospital|QES_Ireland|PanGen-Eu|Total|10
Bon Secours Hospital – Cork|QES_Ireland|PanGen-Eu|Caso|6
Bon Secours Hospital – Cork|QES_Ireland|PanGen-Eu|Total|6
Clonmel General Hospital|QES_Ireland|PanGen-Eu|Caso|1
Clonmel General Hospital|QES_Ireland|PanGen-Eu|Total|1
Midwestern Regional Hospital Limerick|QES_Ireland|PanGen-Eu|Caso|1
Midwestern Regional Hospital Limerick|QES_Ireland|PanGen-Eu|Total|1
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Caso|31
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Control|1
Mater Infirmorum  Hospital, Belfast|QES_Ireland|PanGen-Eu|Total|32
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Caso|6
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Control|2
Belfast City Hospital, Belfast|QES_Ireland|PanGen-Eu|Total|8
Wexford General Hospital|QES_Ireland|PanGen-Eu|Caso|1
Wexford General Hospital|QES_Ireland|PanGen-Eu|Total|1
Controls (Northern Ireland)|QES_Ireland|PanGen-Eu|Control|59
Controls (Northern Ireland)|QES_Ireland|PanGen-Eu|Total|59
Controls (RoI-Dublin)|QES_Ireland|PanGen-Eu|Control|151
Controls (RoI-Dublin)|QES_Ireland|PanGen-Eu|Total|151
Controls (RoI-South)|QES_Ireland|PanGen-Eu|Control|81
Controls (RoI-South)|QES_Ireland|PanGen-Eu|Total|81
University Hospital of Verona|QES_Italian|PanGen-Eu|Caso|101
University Hospital of Verona|QES_Italian|PanGen-Eu|Total|101
Klinikum rechts der Isar der Technischen Universität München|Qualität des Interviews|PanGen-Eu|Caso|16
Klinikum rechts der Isar der Technischen Universität München|Qualität des Interviews|PanGen-Eu|Total|16
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Sample?|613
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Caso|215
Hospital del Mar|RecogidaMuestra_ES|ISBlaC|Total|828
Hospital Ramón y Cajal|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|1
Hospital Ramón y Cajal|RecogidaMuestra_ES_PG|PanGen-Eu|Total|1
Hospital de Santiago de Compostela|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|1
Hospital de Santiago de Compostela|RecogidaMuestra_ES_PG|PanGen-Eu|Total|1
Hospital General Universitario de Elche|RecogidaMuestra_ES_PG|PanGen-Eu|Sample?|5
Hospital General Universitario de Elche|RecogidaMuestra_ES_PG|PanGen-Eu|Total|5
Hôpital Henri Mondor, Paris|SampleCollection_FRANCE|ISBlaC|Sample?|125
Hôpital Henri Mondor, Paris|SampleCollection_FRANCE|ISBlaC|Total|125
AMNCH Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|35
AMNCH Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|35
St Vincent’s Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|31
St Vincent’s Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|31
St James’ Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|4
St James’ Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|4
Mater Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|21
Mater Hospital Dublin|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|21
Mercy University Hospital, Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|15
Mercy University Hospital, Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|15
Kerry General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|4
Kerry General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|4
Bon Secours Hospital – Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|4
Bon Secours Hospital – Cork|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|4
Midwestern Regional Hospital Limerick|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|1
Midwestern Regional Hospital Limerick|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|1
Mater Infirmorum  Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|28
Mater Infirmorum  Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|28
Belfast City Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|5
Belfast City Hospital, Belfast|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|5
Wexford General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Caso|1
Wexford General Hospital|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|1
Controls (Northern Ireland)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|41
Controls (Northern Ireland)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|41
Controls (RoI-Dublin)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|1
Controls (RoI-Dublin)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Total|1
Controls (RoI-South)|SECTION 13: INTERVIEWER ASSESSMENT|PanGen-Eu|Control|74
